wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
lash,3997.0,0.003997,l/&/S/,_/l/@/S/_/,_/_/l/a/s/h/_/_/
bell,14235.0,0.014235,b/E/l,_/b/E/l/_/,_/_/b/e/l/l/_/_/
belt,16732.0,0.016732,b/E/lt,_/b/E/l/t/,_/_/b/e/l/t/_/_/
vow,7332.0,0.007332,v/AU/,_/v/a/w/_/,_/_/v/o/w/_/_/_/
salve,451.0,0.000451,s/&/v,_/s/@/v/_/,_/_/s/a/l/v/e/_/
reap,2723.0,0.002723,r/i/p,_/r/i/p/_/,_/_/r/e/a/p/_/_/
queen,17039.0,0.017039,kw/i/n,k/w/i/n/_/,_/_/q/u/e/e/n/_/
spine,5894.0,0.005894,sp/aI/n,s/p/a/j/n/,_/s/p/i/n/e/_/_/
bounce,10433.0,0.010433,b/AU/ns,_/b/a/w/n/,_/_/b/o/u/n/c/e/
cupped,337.0,0.000337,k/@/pt,_/k/^/p/t/,_/_/c/u/p/p/e/d/
span,8339.0,0.008339,sp/&/n,s/p/@/n/_/,_/s/p/a/n/_/_/_/
sock,7611.0,0.007611,s/A/k,_/s/a/k/_/,_/_/s/o/c/k/_/_/
spay,212.0,0.000212,sp/eI/,s/p/e/j/_/,_/s/p/a/y/_/_/_/
spar,612.0,0.000612,sp/A/r,s/p/a/r/_/,_/s/p/a/r/_/_/_/
spat,467.0,0.000467,sp/&/t,s/p/@/t/_/,_/s/p/a/t/_/_/_/
haunt,5773.0,0.005773,h/O/nt,_/h/a/n/t/,_/_/h/a/u/n/t/_/
char,967.0,0.000967,/tS/A/r,_/C/a/r/_/,_/c/h/a/r/_/_/_/
chap,1259.0,0.001259,/tS/A/p,_/C/a/p/_/,_/c/h/a/p/_/_/_/
chaw,45.0,4.5e-05,/tS/O/,_/C/a/_/_/,_/c/h/a/w/_/_/_/
chat,8914.0,0.008914,/tS/&/t,_/C/@/t/_/,_/c/h/a/t/_/_/_/
lane,13804.0,0.013804,l/eI/n,_/l/e/j/n/,_/_/l/a/n/e/_/_/
land,96624.0,0.096624,l/&/nd,_/l/@/n/d/,_/_/l/a/n/d/_/_/
lank,164.0,0.000164,l/&/N/k,_/l/@/G/k/,_/_/l/a/n/k/_/_/
crease,1892.0,0.001892,kr/i/s,k/r/i/s/_/,_/c/r/e/a/s/e/_/
crook,2267.0,0.002267,kr/U/k,k/r/U/k/_/,_/c/r/o/o/k/_/_/
lube,435.0,0.000435,l/u/b,_/l/u/b/_/,_/_/l/u/b/e/_/_/
next,234819.0,0.234819,n/E/kst,_/n/E/k/s/,_/_/n/e/x/t/_/_/
babe,3792.0,0.003792,b/eI/b,_/b/e/j/b/,_/_/b/a/b/e/_/_/
larch,23.0,2.3e-05,l/A/r/tS/,_/l/a/r/C/,_/_/l/a/r/c/h/_/
wedge,6136.0,0.006136,w/E/dZ/,_/w/E/J/_/,_/_/w/e/d/g/e/_/
lock,26860.0,0.02686,l/A/k,_/l/a/k/_/,_/_/l/o/c/k/_/_/
loch,24.0,2.4e-05,l/A/k,_/l/a/k/_/,_/_/l/o/c/h/_/_/
chow,258.0,0.000258,/tS/AU/,_/C/a/w/_/,_/c/h/o/w/_/_/_/
thigh,7730.0,0.00773,/T/aI/,_/T/a/j/_/,_/t/h/i/g/h/_/_/
mute,2018.0,0.002018,m/j/u/t,m/j/u/t/_/,_/_/m/u/t/e/_/_/
mutt,688.0,0.000688,m/@/t,_/m/^/t/_/,_/_/m/u/t/t/_/_/
snake,10940.0,0.01094,sn/eI/k,s/n/e/j/k/,_/s/n/a/k/e/_/_/
scorch,810.0,0.00081,sk/O/r/tS/,s/k/a/r/C/,_/s/c/o/r/c/h/_/
bump,9786.0,0.009786,b/@/mp,_/b/^/m/p/,_/_/b/u/m/p/_/_/
yous,105.0,0.000105,/j/u/z,_/j/u/z/_/,_/_/_/y/o/u/s/_/
could,711592.0,0.711592,k/U/d,_/k/U/d/_/,_/_/c/o/u/l/d/_/
length,22688.0,0.022688,l/E/N/k/T/,_/l/E/G/k/,_/_/l/e/n/g/t/h/
scene,58656.0,0.058656,s/i/n,_/s/i/n/_/,_/s/c/e/n/e/_/_/
scent,7918.0,0.007918,s/E/nt,_/s/E/n/t/,_/s/c/e/n/t/_/_/
false,14992.0,0.014992,f/O/ls,_/f/a/l/s/,_/_/f/a/l/s/e/_/
brew,2408.0,0.002408,br/u/,b/r/u/_/_/,_/b/r/e/w/_/_/_/
jay,1204.0,0.001204,/dZ/eI/,_/J/e/j/_/,_/_/j/a/y/_/_/_/
jaw,8205.0,0.008205,/dZ/O/,_/J/a/_/_/,_/_/j/a/w/_/_/_/
jar,8070.0,0.00807,/dZ/A/r,_/J/a/r/_/,_/_/j/a/r/_/_/_/
jam,9419.0,0.009419,/dZ/&/m,_/J/@/m/_/,_/_/j/a/m/_/_/_/
