wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
niece,2923,6.495555556,0.18428523720382284,n/i/s,_/_/n/i/s/_/_/,_/_/n/i/e/c/e/_/
tyke,174,0.386666667,0.05,t/aI/k,_/_/t/a/j/k/_/,_/_/t/y/k/e/_/_/
smut,191,0.424444444,0.05,sm/@/t,_/s/m/^/t/_/_/,_/s/m/u/t/_/_/_/
stop,156365,347.4777778,0.5355318810106235,st/A/p,_/s/t/a/p/_/_/,_/s/t/o/p/_/_/_/
smug,1144,2.542222222,0.11570985233328479,sm/@/g,_/s/m/^/g/_/_/,_/s/m/u/g/_/_/_/
braze,16,0.035555556,0.05,br/eI/z,_/b/r/e/j/z/_/,_/b/r/a/z/e/_/_/
snuff,1056,2.346666667,0.11051429846849845,sn/@/f,_/s/n/^/f/_/_/,_/s/n/u/f/f/_/_/
duff,16,0.035555556,0.05,d/@/f,_/_/d/^/f/_/_/,_/_/d/u/f/f/_/_/
scrap,6315,14.03333333,0.2479572059179282,skr/&/p,s/k/r/@/p/_/_/,s/c/r/a/p/_/_/_/
scram,65,0.144444444,0.05,skr/&/m,s/k/r/@/m/_/_/,s/c/r/a/m/_/_/_/
scrag,16,0.035555556,0.05,skr/&/g,s/k/r/@/g/_/_/,s/c/r/a/g/_/_/_/
tank,22271,49.49111111,0.3587974322393844,t/&/N/k,_/_/t/@/G/k/_/,_/_/t/a/n/k/_/_/
tang,1135,2.522222222,0.11519183138771026,t/&/N/,_/_/t/@/G/_/_/,_/_/t/a/n/g/_/_/
neap,49,0.108888889,0.05,n/i/p,_/_/n/i/p/_/_/,_/_/n/e/a/p/_/_/
neat,6019,13.37555556,0.2438639660950685,n/i/t,_/_/n/i/t/_/_/,_/_/n/e/a/t/_/_/
shame,9908,22.01777778,0.2869308153243977,/S/eI/m,_/_/S/e/j/m/_/,_/s/h/a/m/e/_/_/
jest,616,1.3688888890000002,0.07890118338246618,/dZ/E/st,_/_/J/E/s/t/_/,_/_/j/e/s/t/_/_/
in,8375112,18611.36,0.8994717984200424,/I/n,_/_/_/I/n/_/_/,_/_/_/i/n/_/_/_/
if,1072615,2383.588889,0.7114823134210968,/I/f,_/_/_/I/f/_/_/,_/_/_/i/f/_/_/_/
romp,886,1.968888889,0.09955613408338836,r/A/mp,_/_/r/a/m/p/_/,_/_/r/o/m/p/_/_/
opt,6359,14.13111111,0.2485503231488421,/A/pt,_/_/_/a/p/t/_/,_/_/_/o/p/t/_/_/
sprawl,3103,6.8955555560000015,0.1890416769919867,spr/O/l,s/p/r/a/l/_/_/,s/p/r/a/w/l/_/_/
burn,31727,70.50444444,0.3906318111623037,b/@/rn,_/_/b/^/r/n/_/,_/_/b/u/r/n/_/_/
burp,634,1.408888889,0.08043311144122804,b/@/rp,_/_/b/^/r/p/_/,_/_/b/u/r/p/_/_/
burr,991,2.202222222,0.10647786460343682,b/@/r,_/_/b/^/r/_/_/,_/_/b/u/r/r/_/_/
stalk,6254,13.89777778,0.2471285168454144,st/O/k,_/s/t/a/k/_/_/,_/s/t/a/l/k/_/_/
fork,9315,20.7,0.28153717592489214,f/O/rk,_/_/f/a/r/k/_/,_/_/f/o/r/k/_/_/
form,137647,305.8822222,0.5239028006803398,f/O/rm,_/_/f/a/r/m/_/,_/_/f/o/r/m/_/_/
fore,1388,3.084444444,0.12874062171131195,f/oU/r,_/_/f/o/r/_/_/,_/_/f/o/r/e/_/_/
ford,103,0.228888889,0.05,f/oU/rd,_/_/f/o/r/d/_/,_/_/f/o/r/d/_/_/
fort,3570,7.933333332999999,0.20033949346745605,f/oU/rt,_/_/f/o/r/t/_/,_/_/f/o/r/t/_/_/
shin,1386,3.08,0.12864101582101553,/S/I/n,_/_/S/I/n/_/_/,_/s/h/i/n/_/_/_/
scrawl,1197,2.66,0.1187023218516326,skr/O/l,s/k/r/a/l/_/_/,s/c/r/a/w/l/_/_/
shit,12732,28.29333333,0.30898794284044756,/S/I/t,_/_/S/I/t/_/_/,_/s/h/i/t/_/_/_/
felt,868,1.928888889,0.09831513224716588,f/E/lt,_/_/f/E/l/t/_/,_/_/f/e/l/t/_/_/
fell,867,1.926666667,0.09824569163571956,f/E/l,_/_/f/E/l/_/_/,_/_/f/e/l/l/_/_/
skip,8366,18.59111111,0.2721837791573993,sk/I/p,_/s/k/I/p/_/_/,_/s/k/i/p/_/_/_/
skit,684,1.52,0.08455860794319192,sk/I/t,_/s/k/I/t/_/_/,_/s/k/i/t/_/_/_/
skim,2815,6.255555556,0.18130796178926925,sk/I/m,_/s/k/I/m/_/_/,_/s/k/i/m/_/_/_/
skin,48947,108.7711111,0.4298470289915201,sk/I/n,_/s/k/I/n/_/_/,_/s/k/i/n/_/_/_/
skid,2644,5.875555556,0.17638636330540194,sk/I/d,_/s/k/I/d/_/_/,_/s/k/i/d/_/_/_/
string,16471,36.60222222,0.3318327910083288,str/I/N/,s/t/r/I/G/_/_/,s/t/r/i/n/g/_/_/
yeast,2180,4.844444444,0.16152130848723387,/j/i/st,_/_/j/i/s/t/_/,_/_/_/y/e/a/s/t/
shave,5532,12.29333333,0.23670351265101824,/S/eI/v,_/_/S/e/j/v/_/,_/s/h/a/v/e/_/_/
slake,58,0.128888889,0.05,sl/eI/k,_/s/l/e/j/k/_/,_/s/l/a/k/e/_/_/
erg,65,0.144444444,0.05,/E/rg,_/_/_/E/r/g/_/,_/_/_/e/r/g/_/_/
tromp,257,0.571111111,0.05,tr/O/mp,_/t/r/a/m/p/_/,_/t/r/o/m/p/_/_/
cyst,913,2.028888889,0.10138663329374951,s/I/st,_/_/s/I/s/t/_/,_/_/c/y/s/t/_/_/
grained,31,0.06888888900000001,0.05,gr/eI/nd,_/g/r/e/j/n/d/,_/g/r/a/i/n/e/d/
craze,991,2.202222222,0.10647786460343682,kr/eI/z,_/k/r/e/j/z/_/,_/c/r/a/z/e/_/_/
pink,17943,39.87333333,0.3394642362503227,p/I/N/k,_/_/p/I/G/k/_/,_/_/p/i/n/k/_/_/
purr,1133,2.517777778,0.11507631621933949,p/@/r,_/_/p/^/r/_/_/,_/_/p/u/r/r/_/_/
tilt,7174,15.94222222,0.25889358247859645,t/I/lt,_/_/t/I/l/t/_/,_/_/t/i/l/t/_/_/
ping,1448,3.2177777780000003,0.13167946146351547,p/i/N/,_/_/p/i/G/_/_/,_/_/p/i/n/g/_/_/
till,12051,26.78,0.3041350874563556,t/I/l,_/_/t/I/l/_/_/,_/_/t/i/l/l/_/_/
sword,8070,17.93333333,0.26905928870755497,s/oU/rd,_/_/s/o/r/d/_/,_/s/w/o/r/d/_/_/
tile,6089,13.53111111,0.2448486251224123,t/aI/l,_/_/t/a/j/l/_/,_/_/t/i/l/e/_/_/
sworn,759,1.686666667,0.09041771662753664,sw/oU/rn,_/s/w/o/r/n/_/,_/s/w/o/r/n/_/_/
pint,1655,3.677777778,0.14114982153221975,p/aI/nt,_/_/p/a/j/n/t/,_/_/p/i/n/t/_/_/
grog,46,0.102222222,0.05,gr/A/g,_/g/r/a/g/_/_/,_/g/r/o/g/_/_/_/
jail,19712,43.80444444,0.34786553332200826,/dZ/eI/l,_/_/J/e/j/l/_/,_/_/j/a/i/l/_/_/
cute,7595,16.87777778,0.2638110277520495,k/j/u/t,_/k/j/u/t/_/_/,_/_/c/u/t/e/_/_/
yield,20783,46.18444444,0.35260067192164146,/j/i/ld,_/_/j/i/l/d/_/,_/_/_/y/i/e/l/d/
watts,30,0.066666667,0.05,w/A/ts,_/_/w/a/t/s/_/,_/_/w/a/t/t/s/_/
grist,279,0.62,0.05,gr/I/st,_/g/r/I/s/t/_/,_/g/r/i/s/t/_/_/
lone,5171,11.49111111,0.23100880704527757,l/oU/n,_/_/l/o/n/_/_/,_/_/l/o/n/e/_/_/
plaint,57,0.12666666699999998,0.05,pl/eI/nt,_/p/l/e/j/n/t/,_/p/l/a/i/n/t/_/
sulk,594,1.32,0.07699330738858294,s/@/lk,_/_/s/^/l/k/_/,_/_/s/u/l/k/_/_/
skinned,267,0.593333333,0.05,sk/I/nd,_/s/k/I/n/d/_/,_/s/k/i/n/n/e/d/
pain,47995,106.6555556,0.42806662114520233,p/eI/n,_/_/p/e/j/n/_/,_/_/p/a/i/n/_/_/
pail,928,2.062222222,0.10238797137548405,p/eI/l,_/_/p/e/j/l/_/,_/_/p/a/i/l/_/_/
paid,2678,5.951111111,0.17738624221592605,p/eI/d,_/_/p/e/j/d/_/,_/_/p/a/i/d/_/_/
pair,32391,71.98,0.39250052909018923,p/E/r,_/_/p/E/r/_/_/,_/_/p/a/i/r/_/_/
gyre,95,0.211111111,0.05,/dZ/aI/r,_/_/J/a/j/r/_/,_/_/g/y/r/e/_/_/
flack,268,0.595555556,0.05,fl/&/k,_/f/l/@/k/_/_/,_/f/l/a/c/k/_/_/
pump,16740,37.2,0.3332757733342093,p/@/mp,_/_/p/^/m/p/_/,_/_/p/u/m/p/_/_/
black,189362,420.8044444,0.5530031031570642,bl/&/k,_/b/l/@/k/_/_/,_/b/l/a/c/k/_/_/
tun,42,0.093333333,0.05,t/@/n,_/_/t/^/n/_/_/,_/_/t/u/n/_/_/_/
tub,5112,11.36,0.23004344128515788,t/@/b,_/_/t/^/b/_/_/,_/_/t/u/b/_/_/_/
tug,6358,14.12888889,0.24853688583974015,t/@/g,_/_/t/^/g/_/_/,_/_/t/u/g/_/_/_/
