wordform,word_class,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
snatch,vv,918.0,2.04,sn/&/t/S/,_/s/n/@/t/S/_/,_/s/n/a/t/c/h/_/
snatch,nn,166.0,0.3688888888888889,sn/&/t/S/,_/s/n/@/t/S/_/,_/s/n/a/t/c/h/_/
zoo,nn,4940.0,10.977777777777778,z/u/,_/_/z/u/_/_/_/,_/_/z/o/o/_/_/_/
tike,nn,101.0,0.22444444444444445,t/aI/k,_/_/t/a/j/k/_/,_/_/t/i/k/e/_/_/
pluck,vv,815.0,1.8111111111111111,pl/@/k,_/p/l/^/k/_/_/,_/p/l/u/c/k/_/_/
pluck,nn,78.0,0.17333333333333334,pl/@/k,_/p/l/^/k/_/_/,_/p/l/u/c/k/_/_/
west,nn,67220.0,149.37777777777777,w/E/st,_/_/w/E/s/t/_/,_/_/w/e/s/t/_/_/
world,nn,337070.0,749.0444444444445,w/@/rld,_/_/w/^/r/l/d/,_/_/w/o/r/l/d/_/
gleam,nn,939.0,2.0866666666666664,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
gleam,vv,225.0,0.5,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
glean,vv,420.0,0.9333333333333333,gl/i/n,_/g/l/i/n/_/_/,_/g/l/e/a/n/_/_/
with,ii,3095076.0,6877.946666666667,w/I/D/,_/_/w/I/D/_/_/,_/_/w/i/t/h/_/_/
pull,vv,28636.0,63.635555555555555,p/U/l,_/_/p/U/l/_/_/,_/_/p/u/l/l/_/_/
pull,nn,2553.0,5.673333333333333,p/U/l,_/_/p/U/l/_/_/,_/_/p/u/l/l/_/_/
rush,nn,8084.0,17.964444444444446,r/@/S/,_/_/r/^/S/_/_/,_/_/r/u/s/h/_/_/
rush,vv,4608.0,10.24,r/@/S/,_/_/r/^/S/_/_/,_/_/r/u/s/h/_/_/
tripe,nn,145.0,0.32222222222222224,tr/aI/p,_/t/r/a/j/p/_/,_/t/r/i/p/e/_/_/
ruse,nn,572.0,1.271111111111111,r/u/z,_/_/r/u/z/_/_/,_/_/r/u/s/e/_/_/
pulp,nn,2069.0,4.597777777777778,p/@/lp,_/_/p/^/l/p/_/,_/_/p/u/l/p/_/_/
pulp,vv,60.0,0.13333333333333333,p/@/lp,_/_/p/^/l/p/_/,_/_/p/u/l/p/_/_/
rust,nn,1590.0,3.533333333333333,r/@/st,_/_/r/^/s/t/_/,_/_/r/u/s/t/_/_/
rust,vv,501.0,1.1133333333333333,r/@/st,_/_/r/^/s/t/_/,_/_/r/u/s/t/_/_/
creak,nn,397.0,0.8822222222222222,kr/i/k,_/k/r/i/k/_/_/,_/c/r/e/a/k/_/_/
creak,vv,251.0,0.5577777777777778,kr/i/k,_/k/r/i/k/_/_/,_/c/r/e/a/k/_/_/
cream,nn,21395.0,47.544444444444444,kr/i/m,_/k/r/i/m/_/_/,_/c/r/e/a/m/_/_/
cream,jj,376.0,0.8355555555555556,kr/i/m,_/k/r/i/m/_/_/,_/c/r/e/a/m/_/_/
cream,vv,75.0,0.16666666666666666,kr/i/m,_/k/r/i/m/_/_/,_/c/r/e/a/m/_/_/
thorn,nn,665.0,1.4777777777777779,/T/O/rn,_/_/T/a/r/n/_/,_/t/h/o/r/n/_/_/
norm,nn,4565.0,10.144444444444444,n/O/rm,_/_/n/a/r/m/_/,_/_/n/o/r/m/_/_/
sand,nn,16618.0,36.92888888888889,s/&/nd,_/_/s/@/n/d/_/,_/_/s/a/n/d/_/_/
sand,vv,111.0,0.24666666666666667,s/&/nd,_/_/s/@/n/d/_/,_/_/s/a/n/d/_/_/
sane,jj,1709.0,3.7977777777777777,s/eI/n,_/_/s/e/j/n/_/,_/_/s/a/n/e/_/_/
small,jj,177437.0,394.30444444444447,sm/O/l,_/s/m/a/l/_/_/,_/s/m/a/l/l/_/_/
small,rr,275.0,0.6111111111111112,sm/O/l,_/s/m/a/l/_/_/,_/s/m/a/l/l/_/_/
past,jj,65563.0,145.69555555555556,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/t/_/_/
past,nn,44415.0,98.7,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/t/_/_/
past,ii,32456.0,72.12444444444445,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/t/_/_/
past,rr,9167.0,20.371111111111112,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/t/_/_/
pass,vv,31909.0,70.9088888888889,p/&/s,_/_/p/@/s/_/_/,_/_/p/a/s/s/_/_/
passed,vv,25554.0,56.78666666666667,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/s/e/d/
pass,nn,12779.0,28.397777777777776,p/&/s,_/_/p/@/s/_/_/,_/_/p/a/s/s/_/_/
clock,nn,12461.0,27.691111111111113,kl/A/k,_/k/l/a/k/_/_/,_/c/l/o/c/k/_/_/
clock,vv,216.0,0.48,kl/A/k,_/k/l/a/k/_/_/,_/c/l/o/c/k/_/_/
corked,jj,47.0,0.10444444444444445,k/O/rkt,_/_/k/a/r/k/t/,_/_/c/o/r/k/e/d/
full,jj,87329.0,194.06444444444443,f/U/l,_/_/f/U/l/_/_/,_/_/f/u/l/l/_/_/
full,rr,3468.0,7.706666666666667,f/U/l,_/_/f/U/l/_/_/,_/_/f/u/l/l/_/_/
hash,nn,648.0,1.44,h/&/S/,_/_/h/@/S/_/_/,_/_/h/a/s/h/_/_/
hash,vv,307.0,0.6822222222222222,h/&/S/,_/_/h/@/S/_/_/,_/_/h/a/s/h/_/_/
hasp,nn,39.0,0.08666666666666667,h/&/sp,_/_/h/@/s/p/_/,_/_/h/a/s/p/_/_/
suave,jj,418.0,0.9288888888888889,sw/A/v,_/s/w/a/v/_/_/,_/_/s/u/a/v/e/_/
plink,vv,40.0,0.08888888888888889,pl/I/N/k,_/p/l/I/G/k/_/,_/p/l/i/n/k/_/_/
plink,nn,36.0,0.08,pl/I/N/k,_/p/l/I/G/k/_/,_/p/l/i/n/k/_/_/
morn,nn,543.0,1.2066666666666668,m/O/rn,_/_/m/a/r/n/_/,_/_/m/o/r/n/_/_/
more,da,486372.0,1080.8266666666666,m/oU/r,_/_/m/o/r/_/_/,_/_/m/o/r/e/_/_/
more,rr,373740.0,830.5333333333333,m/oU/r,_/_/m/o/r/_/_/,_/_/m/o/r/e/_/_/
door,nn,118911.0,264.24666666666667,d/oU/r,_/_/d/o/r/_/_/,_/_/d/o/o/r/_/_/
doom,nn,2081.0,4.624444444444444,d/u/m,_/_/d/u/m/_/_/,_/_/d/o/o/m/_/_/
dooms,nn,78.0,0.17333333333333334,d/u/mz,_/_/d/u/m/z/_/,_/_/d/o/o/m/s/_/
learn,vv,60581.0,134.62444444444444,l/@/rn,_/_/l/^/r/n/_/,_/_/l/e/a/r/n/_/
learnt,vv,196.0,0.43555555555555553,l/@/rnt,_/_/l/^/r/n/t/,_/_/l/e/a/r/n/t/
grope,vv,231.0,0.5133333333333333,gr/oU/p,_/g/r/o/p/_/_/,_/g/r/o/p/e/_/_/
grope,nn,42.0,0.09333333333333334,gr/oU/p,_/g/r/o/p/_/_/,_/g/r/o/p/e/_/_/
sikh,jj,430.0,0.9555555555555556,s/i/k,_/_/s/i/k/_/_/,_/_/s/i/k/h/_/_/
huge,jj,49767.0,110.59333333333333,h/j/u/dZ/,_/h/j/u/J/_/_/,_/_/h/u/g/e/_/_/
sauce,nn,17977.0,39.94888888888889,s/O/s,_/_/s/a/s/_/_/,_/_/s/a/u/c/e/_/
swipe,nn,529.0,1.1755555555555555,sw/aI/p,_/s/w/a/j/p/_/,_/s/w/i/p/e/_/_/
swipe,vv,304.0,0.6755555555555556,sw/aI/p,_/s/w/a/j/p/_/,_/s/w/i/p/e/_/_/
swipes,vv,171.0,0.38,sw/aI/ps,_/s/w/a/j/p/s/,_/s/w/i/p/e/s/_/
swipes,nn,144.0,0.32,sw/aI/ps,_/s/w/a/j/p/s/,_/s/w/i/p/e/s/_/
saint,nn,2817.0,6.26,s/eI/nt,_/_/s/e/j/n/t/,_/_/s/a/i/n/t/_/
waft,vv,142.0,0.31555555555555553,w/&/ft,_/_/w/@/f/t/_/,_/_/w/a/f/t/_/_/
waft,nn,80.0,0.17777777777777778,w/&/ft,_/_/w/@/f/t/_/,_/_/w/a/f/t/_/_/
blond,jj,6319.0,14.042222222222222,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/_/_/
blond,nn,342.0,0.76,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/_/_/
sell,vv,35251.0,78.33555555555556,s/E/l,_/_/s/E/l/_/_/,_/_/s/e/l/l/_/_/
