wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
pulp,2129.0,4.731111111111111,p/@/lp,_/_/p/^/l/p/_/,_/_/p/u/l/p/_/_/
rust,2091.0,4.6466666666666665,r/@/st,_/_/r/^/s/t/_/,_/_/r/u/s/t/_/_/
creak,648.0,1.44,kr/i/k,_/k/r/i/k/_/_/,_/c/r/e/a/k/_/_/
cream,21846.0,48.54666666666667,kr/i/m,_/k/r/i/m/_/_/,_/c/r/e/a/m/_/_/
thorn,665.0,1.4777777777777779,/T/O/rn,_/_/T/a/r/n/_/,_/t/h/o/r/n/_/_/
norm,4565.0,10.144444444444444,n/O/rm,_/_/n/a/r/m/_/,_/_/n/o/r/m/_/_/
sand,16729.0,37.175555555555555,s/&/nd,_/_/s/@/n/d/_/,_/_/s/a/n/d/_/_/
sane,1709.0,3.7977777777777777,s/eI/n,_/_/s/e/j/n/_/,_/_/s/a/n/e/_/_/
small,177712.0,394.91555555555556,sm/O/l,_/s/m/a/l/_/_/,_/s/m/a/l/l/_/_/
past,151601.0,336.8911111111111,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/t/_/_/
pass,44688.0,99.30666666666667,p/&/s,_/_/p/@/s/_/_/,_/_/p/a/s/s/_/_/
passed,25614.0,56.92,p/&/st,_/_/p/@/s/t/_/,_/_/p/a/s/s/e/d/
clock,12677.0,28.17111111111111,kl/A/k,_/k/l/a/k/_/_/,_/c/l/o/c/k/_/_/
corked,84.0,0.18666666666666668,k/O/rkt,_/_/k/a/r/k/t/,_/_/c/o/r/k/e/d/
full,90797.0,201.7711111111111,f/U/l,_/_/f/U/l/_/_/,_/_/f/u/l/l/_/_/
hash,955.0,2.1222222222222222,h/&/S/,_/_/h/@/S/_/_/,_/_/h/a/s/h/_/_/
hasp,39.0,0.08666666666666667,h/&/sp,_/_/h/@/s/p/_/,_/_/h/a/s/p/_/_/
suave,418.0,0.9288888888888889,sw/A/v,_/s/w/a/v/_/_/,_/_/s/u/a/v/e/_/
plink,76.0,0.1688888888888889,pl/I/N/k,_/p/l/I/G/k/_/,_/p/l/i/n/k/_/_/
morn,543.0,1.2066666666666668,m/O/rn,_/_/m/a/r/n/_/,_/_/m/o/r/n/_/_/
more,860112.0,1911.36,m/oU/r,_/_/m/o/r/_/_/,_/_/m/o/r/e/_/_/
door,118911.0,264.24666666666667,d/oU/r,_/_/d/o/r/_/_/,_/_/d/o/o/r/_/_/
doom,2081.0,4.624444444444444,d/u/m,_/_/d/u/m/_/_/,_/_/d/o/o/m/_/_/
dooms,78.0,0.17333333333333334,d/u/mz,_/_/d/u/m/z/_/,_/_/d/o/o/m/s/_/
learn,60581.0,134.62444444444444,l/@/rn,_/_/l/^/r/n/_/,_/_/l/e/a/r/n/_/
learnt,196.0,0.43555555555555553,l/@/rnt,_/_/l/^/r/n/t/,_/_/l/e/a/r/n/t/
grope,273.0,0.6066666666666667,gr/oU/p,_/g/r/o/p/_/_/,_/g/r/o/p/e/_/_/
sikh,430.0,0.9555555555555556,s/i/k,_/_/s/i/k/_/_/,_/_/s/i/k/h/_/_/
huge,49767.0,110.59333333333333,h/j/u/dZ/,_/h/j/u/J/_/_/,_/_/h/u/g/e/_/_/
sauce,17977.0,39.94888888888889,s/O/s,_/_/s/a/s/_/_/,_/_/s/a/u/c/e/_/
swipe,833.0,1.8511111111111112,sw/aI/p,_/s/w/a/j/p/_/,_/s/w/i/p/e/_/_/
swipes,315.0,0.7,sw/aI/ps,_/s/w/a/j/p/s/,_/s/w/i/p/e/s/_/
saint,2817.0,6.26,s/eI/nt,_/_/s/e/j/n/t/,_/_/s/a/i/n/t/_/
waft,222.0,0.49333333333333335,w/&/ft,_/_/w/@/f/t/_/,_/_/w/a/f/t/_/_/
blond,6661.0,14.802222222222222,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/_/_/
sell,35810.0,79.57777777777778,s/E/l,_/_/s/E/l/_/_/,_/_/s/e/l/l/_/_/
sold,22103.0,49.117777777777775,s/oU/ld,_/_/s/o/l/d/_/,_/_/s/o/l/d/_/_/
self,17103.0,38.00666666666667,s/E/lf,_/_/s/E/l/f/_/,_/_/s/e/l/f/_/_/
selves,1647.0,3.66,s/E/lvz,_/_/s/E/l/v/z/,_/_/s/e/l/v/e/s/
kraal,31.0,0.06888888888888889,kr/A/l,_/k/r/a/l/_/_/,_/k/r/a/a/l/_/_/
seize,3010.0,6.688888888888889,s/i/z,_/_/s/i/z/_/_/,_/_/s/e/i/z/e/_/
barred,2000.0,4.444444444444445,b/A/rd,_/_/b/a/r/d/_/,_/_/b/a/r/r/e/d/
twill,172.0,0.38222222222222224,tw/I/l,_/t/w/I/l/_/_/,_/t/w/i/l/l/_/_/
thrive,3165.0,7.033333333333333,/T/r/aI/v,_/T/r/a/j/v/_/,t/h/r/i/v/e/_/_/
lass,455.0,1.011111111111111,l/&/s,_/_/l/@/s/_/_/,_/_/l/a/s/s/_/_/
last,356871.0,793.0466666666666,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
lashed,623.0,1.3844444444444444,l/&/S/t,_/_/l/@/S/t/_/,_/_/l/a/s/h/e/d/
lash,926.0,2.057777777777778,l/&/S/,_/_/l/@/S/_/_/,_/_/l/a/s/h/_/_/
bell,9238.0,20.52888888888889,b/E/l,_/_/b/E/l/_/_/,_/_/b/e/l/l/_/_/
belt,12908.0,28.684444444444445,b/E/lt,_/_/b/E/l/t/_/,_/_/b/e/l/t/_/_/
vow,1575.0,3.5,v/AU/,_/_/v/a/w/_/_/,_/_/v/o/w/_/_/_/
salve,376.0,0.8355555555555556,s/&/v,_/_/s/@/v/_/_/,_/_/s/a/l/v/e/_/
reap,1654.0,3.6755555555555555,r/i/p,_/_/r/i/p/_/_/,_/_/r/e/a/p/_/_/
spine,5080.0,11.28888888888889,sp/aI/n,_/s/p/a/j/n/_/,_/s/p/i/n/e/_/_/
bounce,3339.0,7.42,b/AU/ns,_/_/b/a/w/n/s/,_/_/b/o/u/n/c/e/
cupped,783.0,1.74,k/@/pt,_/_/k/^/p/t/_/,_/_/c/u/p/p/e/d/
span,4956.0,11.013333333333334,sp/&/n,_/s/p/@/n/_/_/,_/s/p/a/n/_/_/_/
spam,1191.0,2.6466666666666665,sp/&/m,_/s/p/@/m/_/_/,_/s/p/a/m/_/_/_/
sock,1692.0,3.76,s/A/k,_/_/s/a/k/_/_/,_/_/s/o/c/k/_/_/
spay,66.0,0.14666666666666667,sp/eI/,_/s/p/e/j/_/_/,_/s/p/a/y/_/_/_/
spar,243.0,0.54,sp/A/r,_/s/p/a/r/_/_/,_/s/p/a/r/_/_/_/
haunt,1824.0,4.053333333333334,h/O/nt,_/_/h/a/n/t/_/,_/_/h/a/u/n/t/_/
chap,750.0,1.6666666666666667,/tS/A/p,_/_/C/a/p/_/_/,_/c/h/a/p/_/_/_/
chaps,377.0,0.8377777777777777,/tS/&/ps,_/_/C/@/p/s/_/,_/c/h/a/p/s/_/_/
chaw,45.0,0.1,/tS/O/,_/_/C/a/_/_/_/,_/c/h/a/w/_/_/_/
chat,5015.0,11.144444444444444,/tS/&/t,_/_/C/@/t/_/_/,_/c/h/a/t/_/_/_/
lane,10432.0,23.182222222222222,l/eI/n,_/_/l/e/j/n/_/,_/_/l/a/n/e/_/_/
land,73345.0,162.98888888888888,l/&/nd,_/_/l/@/n/d/_/,_/_/l/a/n/d/_/_/
